,feature,sharpe,sharpe_addition,information_ratio,micro_f1,correlation_to_BTC,class_balance,brier_score,turnover,data_length
0,btc_open,-1.0215809926042583,-1.0611645584306029,-0.08534845634836853,0.4892440073755378,0.08367598726532252,0.5119852489244008,0.0,1.0043023970497849,1827
1,btc_open_rolling_mean_normalized,-0.9887156085566264,-1.03947149310796,-0.08455371517009445,0.4929317762753534,0.09396973936913516,0.4972341733251383,0.0,1.0497848801475107,1827
2,btc_open_pct_change,-1.2670121808804287,-1.2606286080806757,-0.09697665484071921,0.48523985239852396,0.10834742171266307,0.48523985239852396,0.0,1.020910209102091,1826
3,btc_open_zscore,-0.210281276730977,-0.5292079606149537,-0.05595190879642357,0.49661954517516904,0.1476738289825069,0.5144437615242778,0.0,0.9440688383527965,1827
4,btc_high,-0.3918072115828396,-0.6221968583076366,-0.05959128768754974,0.51259987707437,0.04029681889306198,0.5046097111247695,0.0,1.022741241548863,1827
5,btc_high_rolling_mean_normalized,-1.033715085139725,-1.0754555625898152,-0.09014949694097803,0.48740012292563,0.1698469591571819,0.5113706207744315,0.0,0.9969268592501537,1827
6,btc_high_pct_change,-0.41616771883398684,-0.6780515673195214,-0.062197278505809146,0.5006150061500615,0.0668262989188276,0.4944649446494465,0.0,0.991389913899139,1826
7,btc_high_zscore,-1.1352697660715634,-1.1374132148760712,-0.08698744448109964,0.49661954517516904,0.024620161653964683,0.5070682237246465,0.0,0.9895513214505224,1827
8,btc_low,0.0436154652951263,-0.3296240993085132,-0.04368678628753967,0.5248924400737554,0.06416193977175595,0.4775660725261217,0.0,1.0006146281499693,1827
9,btc_low_rolling_mean_normalized,-0.5228143431978121,-0.7197343682633519,-0.0655332050254758,0.5003073140749846,0.06920768833837482,0.5021511985248924,0.0,1.0178242163491087,1827
10,btc_low_pct_change,-0.3388904072439351,-0.5876900087883654,-0.05546943027710515,0.48523985239852396,-0.06274196834203805,0.47539975399754,0.0,1.003690036900369,1826
11,btc_low_zscore,-0.6552106679219046,-0.7920954099263852,-0.06727151870296008,0.49231714812538413,-0.025897546836279504,0.49047326367547633,0.0,1.0055316533497234,1827
12,btc_close,-0.63945084827999,-0.7801314864911317,-0.06659046098112884,0.4990780577750461,-0.02913084583920604,0.521819299323909,0.0,1.0178242163491087,1827
13,btc_close_rolling_mean_normalized,-0.20413443602941136,-0.4933601820426541,-0.05263428697214008,0.5162876459741856,0.045057437030135594,0.4960049170251998,0.0,1.0178242163491087,1827
14,btc_close_pct_change,-0.6297342156884698,-0.8210163727527561,-0.06949032270319074,0.48523985239852396,0.04326722474882903,0.5123001230012301,0.0,0.986469864698647,1826
15,btc_close_zscore,-1.0636495285895946,-1.0780668534033335,-0.07832662911601457,0.5107559926244623,-0.13011339055889815,0.4855562384757222,0.0,1.0079901659496004,1827
16,btc_volume,-0.8095382948596898,-0.8953245434274794,-0.0711924376374967,0.4763368162261832,-0.07609519291879291,0.4941610325752919,0.0,1.020282728948986,1827
17,btc_volume_rolling_mean_normalized,-0.6828025351584666,-0.8051259624572842,-0.06713539570410376,0.4849416103257529,-0.06113297576099639,0.49047326367547633,0.0,0.9735709895513215,1827
18,btc_volume_pct_change,-0.7703803172440242,-0.9348437706320799,-0.08024610791361697,0.5092250922509225,0.16857567616228075,0.5227552275522755,0.0,1.004920049200492,1826
19,btc_volume_zscore,-0.5902540673988378,-0.7364800504150029,-0.06366172130968513,0.48985863552550707,-0.06596074236067255,0.49784880147510757,0.0,1.0510141364474492,1827
